ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9514933,HX170372,03/03/2014 02:28:00 AM,071XX S INGLESIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,false,0324,003,5,69,08B,1183751,1858007,2014,03/06/2014 12:40:43 AM,41.76555466676653,-87.60204889879688,"(41.76555466676653, -87.60204889879688)"
9514922,HX170367,03/03/2014 02:20:00 AM,055XX W NORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,2532,025,37,25,14,1139013,1910124,2014,03/05/2014 12:39:37 AM,41.909498312637965,-87.76476568759429,"(41.909498312637965, -87.76476568759429)"
9514932,HX170377,03/03/2014 02:20:00 AM,105XX S WABASH AVE,0460,BATTERY,SIMPLE,STREET,false,false,0512,005,9,49,08B,1178488,1834805,2014,03/05/2014 12:39:37 AM,41.70200667252941,-87.62204214393161,"(41.70200667252941, -87.62204214393161)"
9514930,HX170366,03/03/2014 02:08:00 AM,002XX S HALSTED ST,0460,BATTERY,SIMPLE,RESTAURANT,false,false,1232,012,27,28,08B,1171054,1898923,2014,03/05/2014 12:39:37 AM,41.87811893603047,-87.64739000711374,"(41.87811893603047, -87.64739000711374)"
9514941,HX170387,03/03/2014 02:08:00 AM,011XX S MICHIGAN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,HOTEL/MOTEL,false,false,0123,001,2,32,26,1177376,1895725,2014,03/06/2014 12:40:43 AM,41.86920244208267,-87.62427434416216,"(41.86920244208267, -87.62427434416216)"
9514924,HX170365,03/03/2014 02:05:00 AM,055XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0225,002,20,40,14,1177623,1868117,2014,03/07/2014 12:40:58 AM,41.79343832458245,-87.62420422837374,"(41.79343832458245, -87.62420422837374)"
9515212,HX170637,03/03/2014 02:01:00 AM,096XX S MERRION AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0431,004,7,51,08B,1192702,1841791,2014,03/06/2014 12:40:43 AM,41.72084303853002,-87.56976854573536,"(41.72084303853002, -87.56976854573536)"
9518672,HX172997,03/03/2014 02:00:00 AM,070XX S PEORIA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0733,007,17,68,07,1171559,1858234,2014,03/09/2014 12:39:51 AM,41.766453333254724,-87.64672966588915,"(41.766453333254724, -87.64672966588915)"
9515783,HX171634,03/03/2014 02:00:00 AM,017XX N MC VICKER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2513,025,29,25,06,1135850,1910889,2014,03/06/2014 12:40:43 AM,41.911654511411264,-87.77636711905951,"(41.911654511411264, -87.77636711905951)"
9514917,HX170371,03/03/2014 01:40:00 AM,005XX W DIVERSEY PKWY,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1935,019,43,7,06,1171973,1918828,2014,03/05/2014 12:39:37 AM,41.932719136778225,-87.64342787158414,"(41.932719136778225, -87.64342787158414)"
9514920,HX170360,03/03/2014 01:40:00 AM,006XX N STATE ST,0560,ASSAULT,SIMPLE,HOTEL/MOTEL,true,false,1832,018,42,8,08A,1176224,1904221,2014,03/05/2014 12:39:37 AM,41.892541986874626,-87.62824732890793,"(41.892541986874626, -87.62824732890793)"
9514926,HX170355,03/03/2014 01:30:00 AM,058XX W WASHINGTON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,1513,015,29,25,14,1137281,1900109,2014,03/05/2014 12:39:37 AM,41.882047219076554,-87.7713693826003,"(41.882047219076554, -87.7713693826003)"
9514948,HX170364,03/03/2014 01:30:00 AM,005XX W 129TH PL,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE,false,false,0523,005,34,53,03,1174719,1818748,2014,03/05/2014 12:39:37 AM,41.65802831923479,-87.63631871814194,"(41.65802831923479, -87.63631871814194)"
9514907,HX170352,03/03/2014 01:10:00 AM,039XX W 55TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0822,008,23,62,18,1150928,1867792,2014,03/05/2014 12:39:37 AM,41.793109029339355,-87.72210165054597,"(41.793109029339355, -87.72210165054597)"
9514960,HX170381,03/03/2014 01:02:00 AM,037XX N ODELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1631,016,36,17,08B,1126381,1923733,2014,03/06/2014 12:40:43 AM,41.94706355181213,-87.8108664958921,"(41.94706355181213, -87.8108664958921)"
