ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9514865,HX170308,03/02/2014 10:30:00 PM,057XX S PRAIRIE AVE,051B,ASSAULT,AGGRAVATED: OTHER FIREARM,ALLEY,false,false,0232,002,20,40,04A,1178983,1866923,2014,03/06/2014 12:40:43 AM,41.79013098311615,-87.61925363367034,"(41.79013098311615, -87.61925363367034)"
9514962,HX170403,03/02/2014 10:30:00 PM,039XX W WILCOX ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1122,011,28,26,06,1150110,1899085,2014,03/05/2014 12:39:37 AM,41.87899706615933,-87.72428758802027,"(41.87899706615933, -87.72428758802027)"
9515402,HX171109,03/02/2014 10:30:00 PM,040XX W CERMAK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1012,010,24,29,08B,1149985,1889119,2014,03/07/2014 12:40:58 AM,41.85165162079968,-87.72500587411126,"(41.85165162079968, -87.72500587411126)"
9515369,HX170293,03/02/2014 10:29:00 PM,074XX S KINGSTON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,true,false,0334,003,7,43,06,1194340,1855980,2014,03/08/2014 12:40:21 AM,41.75973883239826,-87.56330400312115,"(41.75973883239826, -87.56330400312115)"
9514852,HX170294,03/02/2014 10:27:00 PM,104XX S WENTWORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0512,005,34,49,18,1176761,1835574,2014,03/05/2014 12:39:37 AM,41.70415588542038,-87.62834282945566,"(41.70415588542038, -87.62834282945566)"
9514900,HX170303,03/02/2014 10:25:00 PM,006XX E 67TH ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,true,false,0321,003,20,42,04A,1182011,1860781,2014,03/05/2014 12:39:37 AM,41.773207214116795,-87.60834078666844,"(41.773207214116795, -87.60834078666844)"
9514850,HX170289,03/02/2014 10:20:00 PM,030XX W AINSLIE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,true,false,1713,017,33,14,14,1154858,1932349,2014,03/05/2014 12:39:37 AM,41.97018235863255,-87.70596008062192,"(41.97018235863255, -87.70596008062192)"
9514874,HX170272,03/02/2014 10:15:00 PM,088XX S ESCANABA AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,0423,004,10,46,08B,1196962,1846948,2014,03/05/2014 12:39:37 AM,41.734889540078285,-87.55399442133226,"(41.734889540078285, -87.55399442133226)"
9514853,HX170291,03/02/2014 10:15:00 PM,005XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,HOTEL/MOTEL,true,false,1834,018,42,8,08B,1177296,1904084,2014,03/05/2014 12:39:37 AM,41.892141811480364,-87.6243145133933,"(41.892141811480364, -87.6243145133933)"
9514824,HX170270,03/02/2014 10:14:00 PM,094XX S INDIANA AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0633,006,6,49,18,1179294,1842389,2014,03/05/2014 12:39:37 AM,41.72279986798,-87.61886039538696,"(41.72279986798, -87.61886039538696)"
9514858,HX170286,03/02/2014 10:13:00 PM,084XX W WINDSOR AVE,0560,ASSAULT,SIMPLE,STREET,true,false,1614,016,36,76,08A,1119119,1929550,2014,03/05/2014 12:39:37 AM,41.963144505842685,-87.83743654566317,"(41.963144505842685, -87.83743654566317)"
9514839,HX170287,03/02/2014 10:10:00 PM,030XX W 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0823,008,15,66,18,1157367,1862672,2014,03/05/2014 12:39:37 AM,41.77893096626254,-87.69862889543381,"(41.77893096626254, -87.69862889543381)"
